district,date,month,year,visitors
Suryapet,2018-10-01,October,2018,0
Suryapet,2018-11-01,November,2018,0
Suryapet,2018-12-01,December,2018,0
Vikarabad,2018-01-01,January,2018,0
Vikarabad,2018-02-01,February,2018,0
Vikarabad,2018-03-01,March,2018,0
Vikarabad,2018-04-01,April,2018,0
Vikarabad,2018-05-01,May,2018,0
Vikarabad,2018-06-01,June,2018,0
Vikarabad,2018-07-01,July,2018,0
Vikarabad,2018-08-01,August,2018,0
Vikarabad,2018-09-01,September,2018,0
Vikarabad,2018-10-01,October,2018,0
Vikarabad,2018-11-01,November,2018,0
Vikarabad,2018-12-01,December,2018,0
Wanaparthy ,2018-01-01,January,2018,28131
Wanaparthy ,2018-02-01,February,2018,22341
Wanaparthy ,2018-03-01,March,2018,20050
Wanaparthy ,2018-04-01,April,2018,10550
Wanaparthy ,2018-05-01,May,2018,11502
Wanaparthy ,2018-06-01,June,2018,19092
Wanaparthy ,2018-07-01,July,2018,32625
Wanaparthy ,2018-08-01,August,2018,35860
Wanaparthy ,2018-09-01,September,2018,32002
Wanaparthy ,2018-10-01,October,2018,21234
Wanaparthy ,2018-11-01,November,2018,32657
Wanaparthy ,2018-12-01,December,2018,20556
Warangal (Rural),2018-01-01,January,2018,25200
Warangal (Rural),2018-02-01,February,2018,26300
Warangal (Rural),2018-03-01,March,2018,26200
Warangal (Rural),2018-04-01,April,2018,21600
Warangal (Rural),2018-05-01,May,2018,22100
Warangal (Rural),2018-06-01,June,2018,23100
Warangal (Rural),2018-07-01,July,2018,25900
Warangal (Rural),2018-08-01,August,2018,25700
Warangal (Rural),2018-09-01,September,2018,25800
Warangal (Rural),2018-10-01,October,2018,26000
Warangal (Rural),2018-11-01,November,2018,24050
Warangal (Rural),2018-12-01,December,2018,30062
Warangal (Urban),2018-01-01,January,2018,137530
Warangal (Urban),2018-02-01,February,2018,145750
Warangal (Urban),2018-03-01,March,2018,140300
Warangal (Urban),2018-04-01,April,2018,142510
Warangal (Urban),2018-05-01,May,2018,143425
Warangal (Urban),2018-06-01,June,2018,135615
Warangal (Urban),2018-07-01,July,2018,136560
Warangal (Urban),2018-08-01,August,2018,136760
Warangal (Urban),2018-09-01,September,2018,138780
Warangal (Urban),2018-10-01,October,2018,140948
Warangal (Urban),2018-11-01,November,2018,144515
Warangal (Urban),2018-12-01,December,2018,180643
Yadadri Bhongir,2018-01-01,January,2018,2016000
Yadadri Bhongir,2018-02-01,February,2018,3073872
Yadadri Bhongir,2018-03-01,March,2018,2836580
Yadadri Bhongir,2018-04-01,April,2018,692370
Yadadri Bhongir,2018-05-01,May,2018,781842
Yadadri Bhongir,2018-06-01,June,2018,577570
Yadadri Bhongir,2018-07-01,July,2018,671156
Yadadri Bhongir,2018-08-01,August,2018,526445
Yadadri Bhongir,2018-09-01,September,2018,819350
Yadadri Bhongir,2018-10-01,October,2018,586475
Yadadri Bhongir,2018-11-01,November,2018,485208
Yadadri Bhongir,2018-12-01,December,2018,606510
